STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1TXLV0028,"YOAKUM 5.5 NNE, TX US",29.367197,-97.114166,101.2
USC00419501,"WATER VALLEY 11 NNE, TX US",31.8136,-100.6286,748.3
US1TXCHK001,"BULLARD 3.7 E, TX US",32.136111,-95.256389,124.4
US1TXTT0007,"TRINITY 3.7 E, TX US",30.942209,-95.310797,56.1
US1TXBEL078,"KILLEEN 2.1 N, TX US",31.127996,-97.722142,264.6
US1TXBEL076,"HARKER HEIGHTS 2.8 SSE, TX US",31.02247,-97.63848,209.7
US1TXTT0003,"TRINITY 5.1 NW, TX US",31.00456111,-95.423525,83.5
US1TXBEL074,"TEMPLE 4.5 WNW, TX US",31.116894,-97.435987,188.1
US1TXBEL073,"TEMPLE 4.7 W, TX US",31.10063,-97.44333,174
US1TXBEL072,"KILLEEN 4.5 E, TX US",31.107888,-97.641293,249.6
US1TXGP0064,"SEGUIN 7.6 N, TX US",29.6879,-97.9916,186.5
US1TXFB0077,"RICHMOND 2.7 NNE, TX US",29.615206,-95.742944,29.6
US1TXTV0096,"TANGLEWOOD FOREST 2.9 E, TX US",30.177585,-97.78995,213.7
US1TXLE0015,"LEXINGTON 2.3 SSW, TX US",30.384,-97.0256,115.8
US1TXFB0070,"MISSOURI CITY 1.7 SSW, TX US",29.5492,-95.5468,20.4
US1TXFB0073,"RICHMOND 4.6 N, TX US",29.647462,-95.757724,27.1
USC00418862,"TAYLOR 1 NW, TX US",30.5844,-97.4156,174
USC00419952,"YOAKUM, TX US",29.2738,-97.1555,89.9
USC00412082,"CRANE, TX US",31.4072,-102.3577,778.5
USC00416680,"ORANGE 9 N, TX US",30.2263,-93.7394,5.5
USC00419711,"WHITE RIVER RESERVOIR, TX US",33.45611,-101.0925,735.2
US1TXBRT006,"SPICEWOOD 4.4 NW, TX US",30.497546,-98.225839,281
US1TXBRT003,"BUCHANAN DAM 7.4 NNE, TX US",30.8474,-98.363,360
USC00412088,"CRAWFORD, TX US",31.5333,-97.4525,214.9
US1TXUP0008,"BIG SANDY 3.9 E, TX US",32.58543,-95.04561,132.3
US1TXBST043,"DALE 7.6 N, TX US",30.03779,-97.569559,159.1
US1TXBST044,"ELGIN 0.9 NW, TX US",30.358042,-97.384201,170.7
USC00410902,"BOERNE, TX US",29.7986,-98.7353,440.4
US1TXTV0086,"AUSTIN 4.7 NNE, TX US",30.373405,-97.732811,230.1
US1TXTV0087,"AUSTIN 3.9 NNE, TX US",30.3574,-97.72355,229.2
US1TXUP0006,"BETTIE STATION, TX US",32.799093,-94.972487,106.1
US1TXBST051,"BASTROP 5.2 SE, TX US",30.054658,-97.249557,120.4
US1TXCLD050,"LOCKHART 7.9 SSW, TX US",29.776284,-97.744469,160
US1TXBRT013,"HIGHLAND HAVEN 1.3 SW, TX US",30.599532,-98.397607,253.9
US1TXCHM008,"MONT BELVIEU 1.5 NNW, TX US",29.872228,-94.889339,13.1
USC00414278,"HORDS CREEK DAM, TX US",31.84555,-99.56068,594.1
US1TXBXR310,"SAN ANTONIO 13.0 W, TX US",29.49251689,-98.7180537,280.4
US1TXGP0086,"SEGUIN 2.3 NE, TX US",29.607287,-97.947222,172.2
US1TXBST035,"BASTROP 5.9 SSW, TX US",30.040288,-97.358071,124.1
US1TXVC0004,"VICTORIA 1.3 E, TX US",28.822,-96.961,29
US1TXVC0003,"VICTORIA 11.9 SE, TX US",28.720195,-96.825768,21
US1TXHRN006,"KOUNTZE 1.1 S, TX US",30.35696449,-94.3161043,20.1
US1TXED0022,"ROCKSPRINGS 11.8 ENE, TX US",30.0649,-100.0230333,722.4
US1TXHRN001,"LUMBERTON 1.2 WNW, TX US",30.272034,-94.220139,18.6
US1TXCMR120,"HARLINGEN 1.1 NE, TX US",26.20408,-97.67229,11
USC00413156,"FISCHERS STORE, TX US",29.9745,-98.267,359.7
USR0000TMID,"MIDLAND TEXAS, TX US",32,-102,854
US1TXVC0010,"VICTORIA 1.6 W, TX US",28.823083,-97.0088,29.6
US1TXED0012,"ROCKSPRINGS 8.5 WSW, TX US",29.966556,-100.342389,709
USC00415341,"LONGVIEW, TX US",32.4725,-94.7172,100.6
USR0000TMIL,"MILLER CREEK TEXAS, TX US",33.4136,-99.4006,406.9
US1TXBXR304,"CROSS MOUNTAIN 2.1 N, TX US",29.67494,-98.6535,365.8
USC00413247,"FORESTBURG 5 S, TX US",33.4661,-97.5797,338.3
US1TXTV0334,"AUSTIN 2.8 E, TX US",30.310035,-97.7043067,189.3
US1TXLK0077,"LUBBOCK 6.4 NW, TX US",33.63563,-101.9606,999.4
US1TXTV0333,"AUSTIN 6.6 SSW, TX US",30.21334,-97.77586,189
USC00414577,"JEFFERSON, TX US",32.7692,-94.3591,64.3
US1TXFN0003,"BONHAM 4.0 NE, TX US",33.637838,-96.140848,178.9
US1TXTV0335,"LEANDER 4.6 SSW, TX US",30.50546,-97.89976,317.6
US1TXEP0128,"SOCORRO 2.3 SSW, TX US",31.609704,-106.287451,1113.7
US1TXBND029,"BANDERA 4.7 NE, TX US",29.771426,-99.016105,448.4
US1TXJN0030,"BURLESON 4.9 ESE, TX US",32.5111,-97.24852,220.1
US1TXEP0131,"EL PASO 8.5 SSE, TX US",31.745413,-106.361487,1129
US1TXHRR223,"MISSION BEND 5.6 NNW, TX US",29.76683807,-95.70607758,32
US1TXNU0052,"CORPUS CHRISTI 4.8 SSE, TX US",27.73365784,-97.3799057,7.6
US1TXCMR101,"SAN BENITO 0.9 SSE, TX US",26.1243521,-97.63061,10.4
US1TXTV0329,"ELGIN 3.8 W, TX US",30.34974,-97.43573,150.6
US1TXCMR100,"HARLINGEN 6.2 WSW, TX US",26.163527,-97.780598,16.2
USR0000TBAS,"BASTROP TEXAS, TX US",30.1742,-97.2564,116.7
US1TXTV0320,"AUSTIN 8.2 N, TX US",30.424167,-97.763333,282.9
USC00415435,"LUMBERTON, TX US",30.2502,-94.1786,11.9
USC00413257,"FORT MCKAVETT, TX US",30.82728,-100.11023,661.1
USR0000TBAR,"BARNHART TEXAS, TX US",30.9856,-101.1578,780.9
US1TXCMR105,"LOS FRESNOS 2.1 NNE, TX US",26.0994,-97.4628,9.4
US1TXTV0325,"PFLUGERVILLE 4.0 ENE, TX US",30.467384,-97.561206,198.7
US1TXTV0324,"LEANDER 2.3 SSW, TX US",30.532203,-97.877426,318.8
US1TXEP0132,"EL PASO 7.8 ESE, TX US",31.79512,-106.32047,1215.2
US1TXNU0038,"CORPUS CHRISTI 4.8 W, TX US",27.808389,-97.470553,13.1
USR0000TSBS,"SABINE SOUTH TEXAS, TX US",31.2803,-93.8386,101.2
US1TXHRR238,"WEBSTER 3.9 NNW, TX US",29.586487,-95.137906,6.4
